match_key,date,home_team,away_team,source_name,source_url,source_status,title,body_char_count,injuries_home,injuries_away,suspensions_home,suspensions_away,expected_lineup_home,expected_lineup_away,coach_comments_home,coach_comments_away,intel_has_content,confidence,fetched_at,article_source_count,article_content_count,cross_source_agreement,conflict_detected,final_article_confidence,quality_reason
2026-06-11|Mexico|South Africa,2026-06-11,Mexico,South Africa,The Analyst,https://theanalyst.com/articles/mexico-vs-south-africa-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,Mexico vs South Africa Prediction: World Cup 2026 Match Preview,9762,"Mexico vs South Africa Prediction The Opta supercomputer could not look past a victory for Mexico, who came out on top in a convincing 67.1% of 10,000 pre-match simulations.","Mexico vs South Africa Prediction The Opta supercomputer could not look past a victory for Mexico, who came out on top in a convincing 67.1% of 10,000 pre-match simulations.",unknown,unknown,Mexico vs South Africa Predicted Lineups Enjoy this?,Mexico vs South Africa Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-06-30T14:33:53.194063+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-06-30|France|Sweden,2026-06-30,France,Sweden,The Analyst,https://theanalyst.com/articles/france-vs-sweden-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,France vs Sweden Prediction: World Cup 2026 Match Preview,6471,"France vs Sweden: The Key Insights France are the heavy favourites to beat Sweden, coming out on top across 90 minutes in 75.1% of pre-match simulations by the Opta supercomputer. France vs Sweden Prediction The Opta supercomputer struggled to see past a France win in 90 minutes; they came out on top in a massive 75.1% of 25,000 pre-match simulations.","France vs Sweden: The Key Insights France are the heavy favourites to beat Sweden, coming out on top across 90 minutes in 75.1% of pre-match simulations by the Opta supercomputer. France vs Sweden Prediction The Opta supercomputer struggled to see past a France win in 90 minutes; they came out on top in a massive 75.1% of 25,000 pre-match simulations.",unknown,unknown,France vs Sweden Predicted Lineups Enjoy this?,France vs Sweden Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-06-30T11:51:26.404951+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-06-30|Ivory Coast|Norway,2026-06-30,Ivory Coast,Norway,The Analyst,https://theanalyst.com/articles/ivory-coast-vs-norway-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,Ivory Coast vs Norway Prediction: World Cup 2026 Match Preview,6788,"The current Ballon d’Or holder scored a hat-trick as Les Bleus ran out 4-1 winners, condemning the Vikings to only their second defeat in 19 matches in all competitions (W14 D3).","The current Ballon d’Or holder scored a hat-trick as Les Bleus ran out 4-1 winners, condemning the Vikings to only their second defeat in 19 matches in all competitions (W14 D3).",unknown,unknown,"Nevertheless, Solbakken is likely to revert to the side that defeated Senegal, meaning the likes of Martin Ødegaard and Alexander Sørloth will return to the starting XI. Ivory Coast vs Norway Predicted Lineups Enjoy this?","Nevertheless, Solbakken is likely to revert to the side that defeated Senegal, meaning the likes of Martin Ødegaard and Alexander Sørloth will return to the starting XI. Ivory Coast vs Norway Predicted Lineups Enjoy this?",unknown,unknown,True,0.99,2026-06-30T11:51:26.945342+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-06-30|Netherlands|Morocco,2026-06-30,Netherlands,Morocco,The Analyst,https://theanalyst.com/articles/netherlands-vs-morocco-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,Netherlands vs Morocco Prediction: World Cup 2026 Match Preview,6329,"World Cup Netherlands vs Morocco Prediction: World Cup 2026 Match Preview Jun 28, 2026 Chirag Sharatkumar / Author After an encouraging group-stage campaign, can Morocco spring an early upset and send the Dutch out of the 2026 World Cup ? Netherlands vs Morocco Prediction The Netherlands are favourites to progress to the round of 16, with Koeman’s side coming out on top in 43.2% of the Opta supercomputer ’s 25,000 pre-match simulations.","World Cup Netherlands vs Morocco Prediction: World Cup 2026 Match Preview Jun 28, 2026 Chirag Sharatkumar / Author After an encouraging group-stage campaign, can Morocco spring an early upset and send the Dutch out of the 2026 World Cup ? Netherlands vs Morocco Prediction The Netherlands are favourites to progress to the round of 16, with Koeman’s side coming out on top in 43.2% of the Opta supercomputer ’s 25,000 pre-match simulations.",unknown,unknown,Netherlands vs Morocco Predicted Lineups Enjoy this?,Netherlands vs Morocco Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-06-30T11:51:27.494129+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-07-02|Portugal|Croatia,2026-07-02,Portugal,Croatia,The Analyst,https://theanalyst.com/articles/portugal-vs-croatia-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,Portugal vs Croatia Prediction: World Cup 2026 Match Preview,6180,unknown,unknown,unknown,unknown,Portugal vs Croatia Predicted Lineups Enjoy this?,Portugal vs Croatia Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-07-02T11:02:18.484779+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-07-02|Spain|Austria,2026-07-02,Spain,Austria,The Analyst,https://theanalyst.com/articles/spain-vs-austria-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,Spain vs Austria Prediction: World Cup 2026 Match Preview,6496,"In fact, they have been eliminated on penalties from each of their last two , both significant upsets, bowing out in the round of 16 to Russia in 2018 and Morocco in 2022. After Paraguay eliminated Germany on penalties on Monday, Morocco repeated their 2022 heroics by knocking out the Netherlands on Tuesday, with two pre-tournament contenders sent home in the space of two days.","In fact, they have been eliminated on penalties from each of their last two , both significant upsets, bowing out in the round of 16 to Russia in 2018 and Morocco in 2022. After Paraguay eliminated Germany on penalties on Monday, Morocco repeated their 2022 heroics by knocking out the Netherlands on Tuesday, with two pre-tournament contenders sent home in the space of two days.",unknown,unknown,Spain vs Austria Predicted Lineups Enjoy this?,Spain vs Austria Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-07-02T11:02:19.147478+00:00,1,1,False,False,0.99,single-source The Analyst article intel
2026-07-02|United States|Bosnia-Herzegovina,2026-07-02,United States,Bosnia-Herzegovina,The Analyst,https://theanalyst.com/articles/usa-vs-bosnia-herzegovina-prediction-world-cup-2026-match-preview,cached_theanalyst_intel,USA vs Bosnia-Herzegovina: World Cup 2026 Match Preview,6333,"USA will be enhanced by the return of Christian Pulisic , who returned from a calf injury against Türkiye.","USA will be enhanced by the return of Christian Pulisic , who returned from a calf injury against Türkiye.",unknown,unknown,USA vs Bosnia-Herzegovina Predicted Lineups Enjoy this?,USA vs Bosnia-Herzegovina Predicted Lineups Enjoy this?,unknown,unknown,True,0.99,2026-07-02T11:02:19.826775+00:00,1,1,False,False,0.99,single-source The Analyst article intel
