date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-17,Bundesliga,19-20,Wolfsburg,FC Koln,2,1,H,14.0,11.0,5.0,2.0,2.0,6.0,14.0,18.0,1.0,3.0,0.0,0.0,1.95,3.5,4.0,Bundesliga\19-20.csv
2019-08-17,La Liga,19-20,Celta,Real Madrid,1,3,A,7.0,17.0,4.0,11.0,6.0,4.0,17.0,12.0,5.0,2.0,0.0,1.0,4.75,4.2,1.65,La Liga Primera Division\19-20.csv
2019-08-17,La Liga,19-20,Leganes,Osasuna,0,1,A,13.0,4.0,2.0,2.0,8.0,0.0,17.0,11.0,1.0,4.0,1.0,0.0,2.0,3.2,4.2,La Liga Primera Division\19-20.csv
2019-08-17,La Liga,19-20,Mallorca,Eibar,2,1,H,16.0,11.0,4.0,5.0,9.0,3.0,13.0,14.0,2.0,3.0,0.0,0.0,2.8,3.2,2.6,La Liga Primera Division\19-20.csv
2019-08-17,La Liga,19-20,Valencia,Sociedad,1,1,D,14.0,12.0,6.0,3.0,3.0,3.0,13.0,14.0,4.0,4.0,1.0,0.0,1.66,3.75,5.5,La Liga Primera Division\19-20.csv
2019-08-17,La Liga,19-20,Villarreal,Granada,4,4,D,12.0,14.0,7.0,7.0,2.0,7.0,10.0,16.0,3.0,1.0,0.0,0.0,1.6,3.8,6.5,La Liga Primera Division\19-20.csv
2019-08-17,Ligue 1,19-20,Amiens,Lille,1,0,H,8.0,10.0,3.0,1.0,3.0,10.0,13.0,7.0,1.0,1.0,0.0,1.0,3.3,3.1,2.37,Le Championnat\19-20.csv
2019-08-17,Ligue 1,19-20,Bordeaux,Montpellier,1,1,D,13.0,10.0,4.0,4.0,3.0,5.0,15.0,21.0,2.0,1.0,0.0,0.0,2.62,3.0,3.0,Le Championnat\19-20.csv
2019-08-17,Ligue 1,19-20,Metz,Monaco,3,0,H,18.0,12.0,10.0,6.0,6.0,4.0,16.0,7.0,1.0,2.0,0.0,1.0,3.0,3.2,2.5,Le Championnat\19-20.csv
2019-08-17,Ligue 1,19-20,Nantes,Marseille,0,0,D,13.0,9.0,6.0,2.0,7.0,3.0,16.0,18.0,0.0,3.0,0.0,0.0,2.6,3.1,2.9,Le Championnat\19-20.csv
2019-08-17,Ligue 1,19-20,Nimes,Nice,1,2,A,18.0,6.0,5.0,3.0,2.0,1.0,21.0,12.0,5.0,5.0,2.0,1.0,2.1,3.3,3.6,Le Championnat\19-20.csv
2019-08-17,Ligue 1,19-20,Toulouse,Dijon,1,0,H,18.0,18.0,7.0,5.0,7.0,5.0,11.0,5.0,2.0,0.0,0.0,0.0,2.1,3.1,4.0,Le Championnat\19-20.csv
2019-08-17,Premier League,19-20,Arsenal,Burnley,2,1,H,16.0,18.0,9.0,5.0,10.0,7.0,13.0,11.0,2.0,1.0,0.0,0.0,1.3,5.5,10.0,Premier League\19-20.csv
2019-08-17,Premier League,19-20,Aston Villa,Bournemouth,1,2,A,22.0,12.0,7.0,4.0,10.0,5.0,10.0,13.0,0.0,2.0,0.0,0.0,2.3,3.4,3.1,Premier League\19-20.csv
2019-08-17,Premier League,19-20,Brighton,West Ham,1,1,D,16.0,8.0,4.0,3.0,8.0,6.0,11.0,10.0,0.0,2.0,0.0,0.0,2.55,3.25,2.87,Premier League\19-20.csv
