date,group,stage,round,match_id,home_team,away_team,home_goals,away_goals,status,aet,penalties_home,penalties_away,winner,source_url,source_event_date,matched_date_source,fetched_at
2026-06-18,A,Group Stage,Group Stage,,Mexico,South Korea,1.0,0.0,completed,False,,,Mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260618,2026-06-19,source_event_date_plus_1,2026-07-10T12:18:58.922765+00:00
2026-06-18,B,Group Stage,Group Stage,,Canada,Qatar,6.0,0.0,completed,False,,,Canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260618,2026-06-18,exact,2026-07-10T12:18:58.922765+00:00
2026-06-18,B,Group Stage,Group Stage,,Switzerland,Bosnia and Herzegovina,4.0,1.0,completed,False,,,Switzerland,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260618,2026-06-18,exact,2026-07-10T12:18:58.922765+00:00
2026-06-19,C,Group Stage,Group Stage,,Brazil,Haiti,3.0,0.0,completed,False,,,Brazil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260619,2026-06-20,source_event_date_plus_1,2026-07-10T12:19:08.938239+00:00
2026-06-19,C,Group Stage,Group Stage,,Scotland,Morocco,0.0,1.0,completed,False,,,Morocco,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260619,2026-06-19,exact,2026-07-10T12:19:08.938239+00:00
2026-06-19,D,Group Stage,Group Stage,,United States,Australia,2.0,0.0,completed,False,,,United States,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260619,2026-06-19,exact,2026-07-10T12:19:08.938239+00:00
2026-06-20,E,Group Stage,Group Stage,,Ecuador,Curaçao,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260620,2026-06-21,source_event_date_plus_1,2026-07-10T12:19:17.205324+00:00
2026-06-20,E,Group Stage,Group Stage,,Germany,Ivory Coast,2.0,1.0,completed,False,,,Germany,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260620,2026-06-20,exact,2026-07-10T12:19:17.205324+00:00
2026-06-20,F,Group Stage,Group Stage,,Netherlands,Sweden,5.0,1.0,completed,False,,,Netherlands,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260620,2026-06-20,exact,2026-07-10T12:19:17.205324+00:00
2026-06-20,F,Group Stage,Group Stage,,Tunisia,Japan,0.0,4.0,completed,False,,,Japan,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260621,2026-06-21,source_event_date_plus_1,2026-07-10T12:19:26.809440+00:00
2026-06-21,G,Group Stage,Group Stage,,Belgium,Iran,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260621,2026-06-21,exact,2026-07-10T12:19:26.809440+00:00
2026-06-21,G,Group Stage,Group Stage,,New Zealand,Egypt,1.0,3.0,completed,False,,,Egypt,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260621,2026-06-22,source_event_date_plus_1,2026-07-10T12:19:26.809440+00:00
2026-06-21,H,Group Stage,Group Stage,,Spain,Saudi Arabia,4.0,0.0,completed,False,,,Spain,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260621,2026-06-21,exact,2026-07-10T12:19:26.809440+00:00
2026-06-21,H,Group Stage,Group Stage,,Uruguay,Cape Verde,2.0,2.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260621,2026-06-21,exact,2026-07-10T12:19:26.809440+00:00
2026-06-22,I,Group Stage,Group Stage,,France,Iraq,3.0,0.0,completed,False,,,France,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260622,2026-06-22,exact,2026-07-10T12:19:35.816562+00:00
2026-06-22,I,Group Stage,Group Stage,,Norway,Senegal,3.0,2.0,completed,False,,,Norway,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260622,2026-06-23,source_event_date_plus_1,2026-07-10T12:19:35.816562+00:00
