market_confidence_bucket,count,market_accuracy,nomarket_accuracy,xgb_accuracy,draw_rate,upset_rate
0.33-0.40,463,0.3952483801295896,0.36285097192224625,0.3693304535637149,0.30669546436285094,0.6047516198704104
0.40-0.45,412,0.44660194174757284,0.4223300970873786,0.42718446601941745,0.28398058252427183,0.5533980582524272
0.45-0.50,317,0.5047318611987381,0.5078864353312302,0.4952681388012618,0.26498422712933756,0.4952681388012618
0.50-0.55,274,0.4744525547445255,0.4708029197080292,0.4781021897810219,0.2664233576642336,0.5255474452554745
0.55-0.60,274,0.5401459854014599,0.5401459854014599,0.5364963503649635,0.24452554744525548,0.45985401459854014
0.60+,752,0.7127659574468085,0.7127659574468085,0.711436170212766,0.18085106382978725,0.2872340425531915
