date,home_team,away_team,status,home_goals,away_goals,source
2026-06-23,Portugal,Uzbekistan,completed,5.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623
2026-06-23,England,Ghana,completed,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623
2026-06-23,Panama,Croatia,completed,0.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260623
2026-06-24,Czech Republic,Mexico,completed,0.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-24,South Africa,South Korea,completed,1.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-24,Bosnia and Herzegovina,Qatar,completed,3.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-24,Switzerland,Canada,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-24,Morocco,Haiti,completed,4.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-24,Scotland,Brazil,completed,0.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624
2026-06-25,Paraguay,Australia,completed,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625
2026-06-25,Curaçao,Ivory Coast,completed,0.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625
2026-06-25,Ecuador,Germany,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625
2026-06-25,Japan,Sweden,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625
2026-06-25,Tunisia,Netherlands,completed,1.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625
2026-06-26,Egypt,Iran,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-26,New Zealand,Belgium,completed,1.0,5.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-26,Cape Verde,Saudi Arabia,completed,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-26,Uruguay,Spain,completed,0.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-26,Norway,France,completed,1.0,4.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-26,Senegal,Iraq,completed,5.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626
2026-06-27,Algeria,Austria,completed,3.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-27,Jordan,Argentina,completed,1.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-27,Colombia,Portugal,completed,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-27,DR Congo,Uzbekistan,completed,3.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-27,Croatia,Ghana,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-27,Panama,England,completed,0.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260627
2026-06-28,South Africa,Canada,completed,0.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260628
