feature,bucket,count,market_accuracy,xgb_accuracy,upset_rate,draw_rate,avg_market_confidence,avg_xgb_confidence,avg_poisson_total_xg,avg_poisson_draw_signal
abs_poisson_diff,0.75-1.00,139,0.6258992805755396,0.6258992805755396,0.37410071942446044,0.2014388489208633,0.6220037803983914,0.59465784,2.801296949131423,0.9097819804866784
poisson_draw_signal,0.75-1.00,139,0.6258992805755396,0.6258992805755396,0.37410071942446044,0.2014388489208633,0.6220037803983914,0.59465784,2.801296949131423,0.9097819804866784
market_confidence,0.60-0.65,231,0.6363636363636364,0.6320346320346321,0.36363636363636365,0.19913419913419914,0.6248066164911471,0.58850294,2.8812726486001092,0.9897542927252063
market_margin,0.30-0.40,97,0.6391752577319587,0.6494845360824743,0.36082474226804123,0.20618556701030927,0.6105416307965909,0.583001,2.8050462060465,0.9279055179425428
xgb_confidence,<0.60,141,0.6453900709219859,0.6382978723404256,0.3546099290780142,0.19858156028368795,0.6284210014262002,0.55741423,2.9358968009643367,0.9929226806683106
poisson_total_xg,2.0-2.5,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6302219308457584,0.6563987,2.469072196539083,0.8869863916220223
abs_poisson_diff,0.50-0.75,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6168271785804212,0.60699284,2.6866449292986467,0.7387933309721078
poisson_draw_signal,0.50-0.75,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6168271785804212,0.60699284,2.6866449292986467,0.7387933309721078
poisson_total_xg,2.5-3.0,295,0.6711864406779661,0.6711864406779661,0.3288135593220339,0.2,0.649092825250801,0.6319892,2.823294152702783,1.0609926855139593
xgb_confidence,0.60-0.70,244,0.6721311475409836,0.6721311475409836,0.32786885245901637,0.20081967213114754,0.6620927070195631,0.64527303,2.9439060268294726,1.1455390291140823
poisson_total_xg,3.0-3.5,330,0.6787878787878788,0.6757575757575758,0.3212121212121212,0.20909090909090908,0.7062751331223851,0.70828855,3.2080845108453726,1.4028098645030216
market_confidence,0.65-0.70,191,0.6858638743455497,0.6858638743455497,0.31413612565445026,0.21465968586387435,0.6743024087340782,0.68909585,3.010497293616515,1.2087261396392373
abs_poisson_diff,1.00-1.50,377,0.6923076923076923,0.6896551724137931,0.3076923076923077,0.20424403183023873,0.6760513074430059,0.67113924,3.0290121373100227,1.2285196295524776
poisson_draw_signal,1.00-1.50,377,0.6923076923076923,0.6896551724137931,0.3076923076923077,0.20424403183023873,0.6760513074430059,0.67113924,3.0290121373100227,1.2285196295524776
market_confidence,0.70-0.75,161,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.18633540372670807,0.7234477818832291,0.7337348,3.2005493003830097,1.4663347288782103
market_margin,0.40+,655,0.7236641221374046,0.7206106870229008,0.27633587786259545,0.17709923664122137,0.7083604127172536,0.7062541,3.198144773977558,1.4265474491046053
xgb_confidence,0.70-0.80,284,0.75,0.75,0.25,0.17253521126760563,0.7330525848910092,0.7470271,3.2991436096069657,1.5631382082845862
abs_poisson_diff,1.50+,233,0.7982832618025751,0.7982832618025751,0.2017167381974249,0.12875536480686695,0.772610551931071,0.7796121,3.5514872208530837,1.8565126127986886
poisson_draw_signal,1.50+,233,0.7982832618025751,0.7982832618025751,0.2017167381974249,0.12875536480686695,0.772610551931071,0.7796121,3.5514872208530837,1.8565126127986886
xgb_confidence,0.80-0.90,68,0.8088235294117647,0.8088235294117647,0.19117647058823528,0.1323529411764706,0.7714013348781679,0.83845055,3.5199077686519975,1.858092537413123
market_confidence,0.75-0.80,118,0.8220338983050848,0.8220338983050848,0.17796610169491525,0.13559322033898305,0.7757160273341147,0.76716685,3.512643176716348,1.820776406151868
xgb_confidence,0.90+,15,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.8265601281627208,0.9290125,3.885951737515589,2.306683308597355
market_confidence,0.80+,51,0.9019607843137255,0.9019607843137255,0.09803921568627451,0.058823529411764705,0.8248418809957097,0.8417462,3.8532355258870084,2.2345877027061545
poisson_total_xg,3.5+,121,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.05785123966942149,0.7840008227489466,0.7854308,3.805952166415555,2.0095322193520313
