segment,total_bets,wins,accuracy,total_stake,total_profit,roi,average_odds,max_drawdown,odds_bucket
1.00-1.25,102,90,0.8823529411764706,102.0,3.8299999999999956,0.03754901960784309,1.176764705882353,-2.460000000000001,1.00-1.25
1.25-1.40,208,154,0.7403846153846154,208.0,-5.069999999999998,-0.024374999999999987,1.3183653846153847,-10.439999999999998,1.25-1.40
1.40-1.60,186,130,0.6989247311827957,186.0,2.1199999999999943,0.01139784946236556,1.4488709677419356,-6.6400000000000015,1.40-1.60
