draw_risk_level,count,avg_model_D,avg_draw_risk_score
HIGH,21,0.26136664142857147,5.380952380952381
LOW,42,0.16984210530952382,1.7857142857142858
MEDIUM,33,0.22462965060606058,3.3636363636363638
UNKNOWN,7,,0.0
