draw_risk_level,count,actual_draw_rate,model_accuracy,favorite_win_rate,upset_or_draw_rate,avg_draw_risk_score,avg_model_D
HIGH,846,0.3049645390070922,0.375886524822695,0.375886524822695,0.624113475177305,5.117021276595745,0.30831957
LOW,6433,0.20068397326286336,0.6811751904243744,0.6811751904243744,0.3188248095756257,1.1161200062179388,0.1833574
MEDIUM,2610,0.28888888888888886,0.4532567049808429,0.4532567049808429,0.5467432950191571,3.4547892720306512,0.2829717
