segment,total_bets,wins,accuracy,total_stake,total_profit,roi,average_odds,max_drawdown,year
2025,319,248,0.7774294670846394,319.0,9.669999999999998,0.030313479623824444,1.33576802507837,-6.880000000000002,2025
2026,177,126,0.711864406779661,177.0,-8.790000000000003,-0.04966101694915256,1.342542372881356,-9.110000000000001,2026
