match_key,exists_in_daily,exists_in_poisson,daily_home,daily_away,poisson_home,poisson_away,poisson_top_scores,merge_success,reason
2026-07-04|canada|morocco,True,True,Canada,Morocco,Canada,Morocco,"[{""scoreline"": ""1-1"", ""probability"": 0.118719}, {""scoreline"": ""0-1"", ""probability"": 0.108366}, {""scoreline"": ""1-2"", ""probability"": 0.094452}, {""scoreline"": ""0-2"", ""probability"": 0.086216}, {""scoreline"": ""1-0"", ""probability"": 0.07461}]",True,
2026-07-04|colombia|ghana,True,True,Colombia,Ghana,Colombia,Ghana,"[{""scoreline"": ""2-0"", ""probability"": 0.125016}, {""scoreline"": ""3-0"", ""probability"": 0.109807}, {""scoreline"": ""1-0"", ""probability"": 0.094888}, {""scoreline"": ""2-1"", ""probability"": 0.086127}, {""scoreline"": ""3-1"", ""probability"": 0.075649}]",True,
2026-07-04|paraguay|france,True,True,Paraguay,France,Paraguay,France,"[{""scoreline"": ""0-1"", ""probability"": 0.114048}, {""scoreline"": ""0-2"", ""probability"": 0.110954}, {""scoreline"": ""1-1"", ""probability"": 0.101621}, {""scoreline"": ""1-2"", ""probability"": 0.098864}, {""scoreline"": ""0-3"", ""probability"": 0.071963}]",True,
