segment,model,count,accuracy,market_confidence_avg,poisson_diff_avg,upset_rate
overall,market,2492,0.5381219903691814,,,
overall,no_market,2492,0.5280898876404494,,,
overall,xgboost,2492,0.5284911717495987,,,
strong_home_market_favorite,xgboost,720,0.6708333333333333,0.6708490588627716,-1.2697018735101315,0.32916666666666666
fifty_fifty,xgboost,432,0.3611111111111111,0.3707949922146888,-0.017199169684093036,0.6087962962962963
upset_cases,xgboost,1151,0.06255430060816682,0.49479160817399764,-0.1979897859229661,1.0
