segment,total_bets,wins,accuracy,total_stake,total_profit,roi,average_odds,max_drawdown,league
Bundesliga,83,63,0.7590361445783133,83.0,-0.35000000000000053,-0.004216867469879524,1.3159036144578313,-8.07,Bundesliga
La Liga,99,83,0.8383838383838383,99.0,8.35,0.08434343434343435,1.3070707070707068,-2.9299999999999997,La Liga
Ligue 1,97,78,0.8041237113402062,97.0,7.479999999999997,0.07711340206185564,1.3442268041237115,-4.780000000000001,Ligue 1
Premier League,106,73,0.6886792452830188,106.0,-8.180000000000001,-0.07716981132075473,1.350943396226415,-9.75,Premier League
Serie A,111,77,0.6936936936936937,111.0,-6.420000000000001,-0.057837837837837844,1.3651351351351348,-8.540000000000001,Serie A
