segment,pick_type,total_bets,wins,accuracy,total_stake,total_profit,roi,average_odds,max_drawdown
unfiltered_strong_favorite,market_pred,752,536,0.7127659574468085,752.0,-0.6400000000000006,-0.0008510638297872348,1.4172340425531915,-19.18
unfiltered_strong_favorite,xgb_pred,752,535,0.711436170212766,752.0,0.16000000000000103,0.0002127659574468099,1.427154255319149,-18.380000000000003
filtered_bet_only,market_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
filtered_bet_only,xgb_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
pass_group,market_pred,256,162,0.6328125,256.0,-1.5199999999999934,-0.005937499999999974,1.5703906250000004,-15.549999999999997
pass_group,xgb_pred,256,161,0.62890625,256.0,-0.7199999999999949,-0.00281249999999998,1.5995312500000003,-17.14
risk_score_0,market_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
risk_score_0,xgb_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
risk_score_ge_1,market_pred,256,162,0.6328125,256.0,-1.5199999999999934,-0.005937499999999974,1.5703906250000004,-15.549999999999997
risk_score_ge_1,xgb_pred,256,161,0.62890625,256.0,-0.7199999999999949,-0.00281249999999998,1.5995312500000003,-17.14
