market_margin_bucket,count,market_accuracy,nomarket_accuracy,xgb_accuracy,draw_rate,upset_rate
0.00-0.03,160,0.35625,0.3375,0.34375,0.3625,0.64375
0.03-0.06,155,0.3870967741935484,0.33548387096774196,0.3548387096774194,0.2838709677419355,0.6129032258064516
0.06-0.08,117,0.4444444444444444,0.38461538461538464,0.39316239316239315,0.2564102564102564,0.5555555555555556
0.08-0.12,228,0.42105263157894735,0.40789473684210525,0.3991228070175439,0.33771929824561403,0.5789473684210527
0.12-0.20,400,0.4625,0.45,0.455,0.2725,0.5375
0.20+,1432,0.6222067039106145,0.6229050279329609,0.6201117318435754,0.210195530726257,0.3777932960893855
