match_key,manual_odds_found,api_odds_found,openai_odds_found,home_odds,draw_odds,away_odds,final_odds_status,reason
2026-06-29|Brazil|Japan,False,False,False,,,,missing,no_complete_odds
2026-06-29|Germany|Paraguay,False,False,False,,,,missing,no_complete_odds
2026-06-30|Netherlands|Morocco,False,False,False,,,,missing,no_complete_odds
2026-06-30|Ivory Coast|Norway,False,False,False,,,,missing,no_complete_odds
2026-06-30|France|Sweden,False,False,False,,,,missing,no_complete_odds
2026-07-01|Mexico|Ecuador,False,False,False,,,,missing,no_complete_odds
2026-07-01|England|Congo DR,False,False,False,,,,missing,no_complete_odds
2026-07-01|Belgium|Senegal,False,False,False,,,,missing,no_complete_odds
2026-07-02|United States|Bosnia-Herzegovina,True,False,True,1.36,5.0,9.0,manual_or_api,complete_odds_found
2026-07-02|Spain|Austria,True,False,True,1.3,5.2,10.5,manual_or_api,complete_odds_found
2026-07-02|Portugal|Croatia,True,False,True,1.74,3.77,5.09,manual_or_api,complete_odds_found
2026-07-03|Switzerland|Algeria,True,False,True,2.05,3.3,4.2,manual_or_api,complete_odds_found
2026-07-03|Australia|Egypt,True,False,True,3.54,2.91,2.5,manual_or_api,complete_odds_found
2026-07-03|Argentina|Cape Verde,True,False,True,1.14,8.0,19.0,manual_or_api,complete_odds_found
2026-07-04|Canada|Morocco,True,False,True,5.0,3.4,1.8,manual_or_api,complete_odds_found
2026-07-04|Paraguay|France,True,False,True,18.0,7.0,1.1667,manual_or_api,complete_odds_found
2026-07-04|Colombia|Ghana,True,False,True,1.53,4.0,7.5,manual_or_api,complete_odds_found
2026-07-05|Brazil|Norway,False,False,False,,,,missing,no_complete_odds
2026-07-06|Mexico|England,False,False,False,,,,missing,no_complete_odds
2026-07-06|Portugal|Spain,False,False,False,,,,missing,no_complete_odds
2026-07-07|United States|Belgium,False,False,False,,,,missing,no_complete_odds
2026-07-07|Argentina|Egypt,False,False,False,,,,missing,no_complete_odds
2026-07-07|Switzerland|Colombia,False,False,False,,,,missing,no_complete_odds
2026-07-11|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-11|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-12|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-12|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-14|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-15|TBD|TBD,False,False,False,,,,missing,no_complete_odds
2026-07-19|TBD|TBD,False,False,False,,,,missing,no_complete_odds
